Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Shai Gilgeous-Alexander G,76,76.0,34.2,32.7,0.9,4.1,5.0,6.4,1.7,1.0,2.4,2.2,2.7,11.3,21.8,51.9,2.1,5.7,37.5,7.9,8.8,89.8,9.2,16.1,57.1,1.5,0.57
Jalen Williams G,69,69.0,32.4,21.6,0.9,4.5,5.3,5.1,1.6,0.7,2.2,2.3,2.4,8.2,16.9,48.4,1.8,4.9,36.5,3.4,4.3,78.9,6.4,12.0,53.3,1.276,0.54
Chet Holmgren C,32,32.0,27.4,15.0,1.5,6.5,8.0,2.0,0.7,2.2,1.8,2.3,1.1,5.2,10.7,49.0,1.4,3.6,37.9,3.2,4.2,75.4,3.8,7.0,54.7,1.405,0.55
Aaron Wiggins G,76,26.0,22.9,12.0,1.1,2.8,3.9,1.8,0.8,0.2,0.9,1.3,1.9,4.7,9.6,48.8,1.7,4.5,38.3,1.0,1.2,83.1,3.0,5.1,57.8,1.255,0.58
Isaiah Hartenstein C,57,53.0,27.9,11.2,2.9,7.9,10.7,3.8,0.8,1.1,1.7,3.0,2.3,4.9,8.4,58.1,0.0,0.3,0.0,1.4,2.1,67.5,4.9,8.1,60.5,1.327,0.58
Isaiah Joe G,74,16.0,21.7,10.2,0.6,2.1,2.6,1.6,0.6,0.1,0.5,1.5,3.1,3.5,7.9,44.0,2.6,6.3,41.2,0.6,0.8,82.1,0.9,1.6,54.9,1.286,0.6
Luguentz Dort G,71,71.0,29.2,10.1,1.3,2.9,4.1,1.6,1.1,0.5,0.7,2.9,2.3,3.6,8.4,43.5,2.4,5.8,41.2,0.5,0.6,71.7,1.2,2.5,48.9,1.212,0.58
Cason Wallace G,68,43.0,27.6,8.4,1.0,2.3,3.4,2.5,1.8,0.5,0.9,2.1,2.9,3.4,7.2,47.4,1.1,3.1,35.6,0.4,0.5,81.1,2.3,4.1,56.2,1.162,0.55
Alex Caruso G,54,3.0,19.3,7.1,0.7,2.2,2.9,2.5,1.6,0.6,0.7,1.9,3.7,2.6,5.8,44.6,1.1,3.1,35.3,0.8,0.9,82.4,1.5,2.7,55.6,1.217,0.54
Ajay Mitchell G,36,1.0,16.6,6.5,0.5,1.4,1.9,1.8,0.7,0.1,0.8,1.9,2.2,2.5,5.1,49.5,0.6,1.7,38.3,0.8,1.0,82.9,1.9,3.4,54.8,1.272,0.56
Kenrich Williams G,69,7.0,16.4,6.3,0.9,2.6,3.5,1.4,0.6,0.1,0.6,1.6,2.5,2.5,5.1,48.3,1.0,2.5,38.6,0.4,0.6,71.8,1.5,2.7,57.4,1.232,0.58
Jaylin Williams F,47,9.0,16.7,5.9,1.0,4.6,5.6,2.6,0.5,0.6,0.7,1.7,3.4,2.1,4.7,43.9,1.3,3.3,39.9,0.5,0.6,76.7,0.8,1.4,52.9,1.258,0.58
Ousmane Dieng F,37,1.0,10.9,3.8,0.5,1.7,2.2,0.8,0.5,0.2,0.5,0.9,1.7,1.5,3.4,43.2,0.6,1.9,32.4,0.3,0.4,68.8,0.8,1.5,57.4,1.136,0.52
Branden Carlson C,32,0.0,7.7,3.8,0.5,1.2,1.7,0.4,0.2,0.7,0.2,0.7,2.0,1.3,3.0,44.3,0.7,2.1,33.3,0.4,0.6,77.8,0.7,1.0,67.7,1.258,0.56
Dillon Jones G,54,3.0,10.2,2.5,0.6,1.7,2.2,1.1,0.3,0.1,0.5,1.0,2.1,0.9,2.5,38.3,0.3,1.2,25.4,0.3,0.5,60.7,0.6,1.3,50.0,1.015,0.44
Alex Reese F *,1,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,2.0,1.0
Adam Flagler G,37,0.0,5.5,1.8,0.2,0.5,0.7,0.3,0.2,0.1,0.1,0.4,3.0,0.7,2.6,26.0,0.4,1.9,19.4,0.0,0.1,50.0,0.3,0.6,45.8,0.677,0.33
Alex Ducas G,21,0.0,6.0,1.7,0.4,0.8,1.2,0.2,0.2,0.0,0.2,0.6,1.3,0.6,1.4,40.0,0.5,1.0,47.6,0.1,0.1,100.0,0.1,0.4,22.2,1.2,0.57
Malevy Leons F,6,0.0,3.5,0.3,0.2,0.3,0.5,0.2,0.0,0.0,0.2,0.7,1.0,0.0,0.3,0.0,0.0,0.2,0.0,0.3,0.7,50.0,0.0,0.2,0.0,1.0,0.0
Total,82,,,120.5,10.6,34.2,44.8,26.9,10.3,5.7,11.0,19.9,2.4,44.6,92.7,48.2,14.5,38.8,37.4,16.7,20.4,81.9,30.1,53.9,55.9,1.3,0.56
